region,beds,doctors,nurses
上海市,1442500,741400,910000
云南省,2950600,1076000,1455300
内蒙古自治区,1542000,758300,778000
北京市,1240400,1011200,1109700
吉林省,1638200,778200,805200
四川省,5966100,2190500,2566300
天津市,673300,447700,410400
宁夏回族自治区,392200,198100,229900
安徽省,3498600,1433600,1660400
山东省,6137000,2977100,3263000
山西省,2087800,1025200,1063700
广东省,5251500,2830500,3416800
广西壮族自治区,2733300,1138200,1508000
新疆维吾尔自治区,1727800,654900,768300
江苏省,4951100,2387300,2645700
江西省,2592500,962300,1187600
河北省,4189200,2179600,1848600
河南省,6196100,2538700,2772400
浙江省,3323000,2010000,2131200
海南省,492100,242500,318200
湖北省,3966000,1553100,1916300
湖南省,4750300,1790100,2033100
甘肃省,1622900,613000,714200
福建省,2004800,963600,1132600
西藏自治区,170300,87000,58300
贵州省,2530900,875300,1141700
辽宁省,3033100,1205400,1358000
重庆市,2168900,789700,962100
陕西省,2550200,1036000,1381300
青海省,393100,167300,179600
黑龙江省,2436800,915000,964100
